,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
29,Abbey Cocktail,11003,Ordinary Drink,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Gin,1 1/2 oz ,Orange bitters,1 dash ,Orange,Juice of 1/4 ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
30,Abbey Martini,17223,Cocktail,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",Gin,2 shots ,Sweet Vermouth,1 shot ,Orange Juice,1 shot ,Angostura Bitters,3 dashes ,,"
",,"
",,"
",,,,,,,,,,,,,,,,
31,Abilene,11004,Ordinary Drink,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Dark rum,1 1/2 oz ,Peach nectar,2 oz ,Orange juice,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
32,Absinthe #2,12790,Homemade Liqueur,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",Vodka,1 bottle ,Sugar,50 gr ,Anise,50 ml pure ,Licorice root,1 tblsp ,Wormwood,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
33,Absolut Evergreen,14374,Other/Unknown,Collins Glass,"Mix, pour over ice and top up with Bitter Lemon.",Absolut Citron,2/3 part ,Pisang Ambon,1/3 part ,Ice," cubes
",Bitter lemon,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
34,Absolut Sex,14360,Shot,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",Absolut Kurant,3/4 oz ,Midori melon liqueur,3/4 oz ,Cranberry juice,1 oz ,Sprite,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
35,Absolut Stress #2,15597,Ordinary Drink,Collins Glass,Mix well. Garnish with Orange and Cherry. Enjoy,Absolut Vodka,1 1/2 oz ,Peach schnapps,1/2 oz ,Coconut liqueur,1/2 oz ,Cranberry juice,1 1/2 oz ,Pineapple juice,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
36,Absolut Summertime,14107,Cocktail,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Absolut Citron,1 1/2 oz ,Sweet and sour,3/4 oz ,Sprite,1/2 oz ,Soda water,3 oz ,Lemon,1 slice ,, ,, ,, ,, ,, ,,,,,,,,,,
37,Absolut limousine,14372,Other/Unknown,Collins Glass,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,Absolut Citron,2/3 ,Lime juice,1/3 ,Ice,Fill with ,Tonic water,Top it up with ,, ,, ,, ,, ,, ,,,,,,,,,,,,
38,Absolutely Cranberry Smash,15024,Ordinary Drink,Cocktail glass,Stir ingredients together. Serve over ice.,Absolut Vodka,2 oz ,Cranberry juice,4 oz ,Ginger ale,2 oz ,Ice,Add ,, ,, ,, ,, ,, ,,,,,,,,,,,,
39,Absolutely Fabulous,17224,Cocktail,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Vodka,1 shot ,Cranberry Juice,2 shots ,Champagne,Top up with,,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
40,Absolutly Screwed Up,16134,Cocktail,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",Absolut Citron,1 shot ,Orange juice,1 shot ,Triple sec,1 shot ,Ginger ale,Fill to top ,, ,, ,, ,, ,, ,,,,,,,,,,,,
41,Acapulco,11005,Ordinary Drink,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Light rum,1 1/2 oz ,Triple sec,1 1/2 tsp ,Lime juice,1 tblsp ,Sugar,1 tsp ,Egg white,1 ,Mint,1 ,, ,, ,, ,, ,, ,,,,,,,,
42,Ace,17225,Cocktail,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Gin,2 shots ,Grenadine,1/2 shot ,Heavy cream,1/2 shot ,Milk,1/2 shot ,Egg White,1/2 Fresh,,"
",,"
",,,,,,,,,,,,,,,,
43,Adam,11006,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,2 oz ,Lemon juice,1 oz ,Grenadine,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
44,Adam & Eve,17226,Cocktail,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,Gin,1 shot ,Cognac,1 shot ,Creme de Cassis,1 shot ,Fresh Lemon Juice,1/8 shot ,,,,,,,,,,,,,,,,,,,,,,
45,Adam Bomb,16333,Punch / Party Drink,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,1 part ,Vodka,1 part ,Tequila,1 part ,Triple sec,1/2 part ,Fruit,"
",Ice,"
",Salt,1-3 pint ,Fruit juice, ,, ,, ,, ,, ,,,,,,
46,Adam Sunrise,15567,Ordinary Drink,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Vodka,1/2 ,Lemonade,1/2 can ,Water,1/2 ,Sugar,10 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
47,Addington,17227,Cocktail,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Sweet Vermouth,2 shots ,Dry Vermouth,1 shot ,Soda Water,"Top up with
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
48,Addison,17228,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Gin,1 1/2 shot ,Vermouth,1 1/2 shot ,,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
49,Addison Special,14272,Cocktail,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Vodka,1 shot ,Grenadine,1 tblsp ,Orange juice,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
50,Adios Amigos Cocktail,17229,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Rum,1 shot ,Dry Vermouth,1/2 shot ,Cognac,1/2 shot ,Gin,1/2 shot ,Fresh Lime Juice,1/4 shot,Sugar Syrup,1/4 shot,Water,1/2 shot ,,,,,,,,,,,,,,,,
51,Adonis Cocktail,11007,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Sweet Vermouth,3/4 oz ,Sherry,1 1/2 oz dry ,Orange bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
