,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
388,New York Sour,11844,Ordinary Drink,Whiskey sour glass,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Sugar,1 tsp ,Red wine," (Claret)
",Lemon,"
",Cherry,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
389,Nuked Hot Chocolate,12746,Cocoa,Coffee mug,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",Cocoa powder,2 tsp ,Sugar,1 tsp ,Vanilla extract,1/2 tsp ,Milk,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
390,Nutty Irishman,13861,Milk / Float / Shake,Highball Glass,Serve over ice,Bailey's irish cream,1 part ,Frangelico,1 part ,Milk,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
391,Old Fashioned,17179,Cocktail,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",Bourbon,4.5 cL,Angostura bitters,2 dashes,Sugar,1 cube,Water,dash,,,,,,,,,,,,,,,,,,,,,,
392,Orange Crush,15330,Shot,Shot glass,Add all ingredients to tumbler-Pour as shot,Vodka,1 oz ,Triple sec,1 oz ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
393,Orange Oasis,11870,Ordinary Drink,Highball glass,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",Cherry brandy,1/2 oz ,Gin,1 1/2 oz ,Orange juice,4 oz ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
394,Orange Push-up,14586,Ordinary Drink,Hurricane glass,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,Spiced rum,1.5 oz ,Grenadine,0.5 oz ,Orange juice,4 oz ,Sour mix,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
395,Orange Scented Hot Chocolate,12748,Cocoa,Coffee mug,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",Milk,2 cups ,Chocolate,4 oz chopped bittersweet or semi-sweet ,Orange peel,3 2-inch strips ,Espresso,1/2 tsp instant ,Nutmeg,1/8 tsp ground ,, ,, ,, ,, ,, ,,,,,,,,,,
396,Orange Whip,16995,Other/Unknown,Collins Glass,Pour ingredients over ice and stir.,Orange juice,4 oz ,Rum,1 oz ,Vodka,1 oz ,Cream,1 package ,Ice,Over ,, ,, ,, ,, ,, ,,,,,,,,,,
397,Orangeade,12618,Cocktail,Highball glass,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",Lemon juice,5 cl ,Orange juice,15 cl ,Sugar syrup,2-3 cl ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
398,Oreo Mudslide,13499,Ordinary Drink,Collins Glass,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",Vodka,1 oz ,Kahlua,1 oz ,Bailey's irish cream,1 oz ,Vanilla ice-cream,2 scoops ,Oreo cookie,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
399,Orgasm,11872,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Creme de Cacao,1/2 oz white ,Amaretto,1/2 oz ,Triple sec,1/2 oz ,Vodka,1/2 oz ,Light cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
400,Owen's Grandmother's Revenge,13200,Ordinary Drink,Highball glass,Add ingredients and mix in blender.,Whiskey,12 oz ,Beer,12 oz ,Lemonade,12 oz frozen ,Ice,1 cup crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
401,Paradise,17190,Ordinary Drink,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,Gin,7 parts,Apricot Brandy,4 parts,Orange Juice,3 parts ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
402,Pina Colada,17207,Ordinary Drink,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",Light rum,3 oz ,Coconut milk,3 tblsp ,Pineapple,3 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
403,Pineapple Gingerale Smoothie,12718,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.,Ginger,1/4 inch ,Pineapple,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
404,Pink Gin,11936,Ordinary Drink,White wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",Bitters,3 dashes ,Gin,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
405,Pink Lady,11938,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,1 1/2 oz ,Grenadine,1 tsp ,Light cream,1 tsp ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
406,Pink Panty Pulldowns,13535,Ordinary Drink,Collins Glass,Shake well,Sprite,1 L ,Pink lemonade,2 cups ,Vodka,2 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
407,Pink Penocha,16992,Punch / Party Drink,Punch bowl,mix all ingredients into bowl keep iced stir frequently,Everclear,750 ml ,Vodka,1750 ml ,Peach schnapps,1750 ml ,Orange juice,1 gal ,Cranberry juice,1 gal ,, ,, ,, ,, ,, ,,,,,,,,,,
408,Pisco Sour,13214,Cocktail,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",Pisco,2 oz ,Lemon juice,1 oz ,Sugar,1-2 tblsp ,Ice,,,,,,,,,,,,,,,,,,,,,,,
409,Planter's Punch,17191,Punch / Party Drink,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",Dark rum,1 part ,Orgeat syrup,1/2 part ,Orange juice,2 parts ,Pineapple juice,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
410,Popped cherry,13072,Ordinary Drink,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,Vodka,2 oz ,Cherry liqueur,2 oz ,Cranberry juice,4 oz ,Orange juice,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
411,Poppy Cocktail,11959,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Gin,1 1/2 oz ,Creme de Cacao,3/4 oz white ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
412,Port And Starboard,11961,Ordinary Drink,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",Grenadine,1 tblsp ,Green Creme de Menthe,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
413,Port Wine Cocktail,11963,Ordinary Drink,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",Port,2 1/2 oz ,Brandy,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
414,Port Wine Flip,11965,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Port,1 1/2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
415,Porto flip,17192,Ordinary Drink,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",Brandy,3 parts,Port,9 parts,Egg Yolk,2 parts,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
416,Pysch Vitamin Light,15092,Ordinary Drink,Collins Glass,Shake with ice.,Orange juice,1 part ,Apple juice,1 part ,Pineapple juice,1 part ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
417,Quaker's Cocktail,11983,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,3/4 oz ,Brandy,3/4 oz ,Lemon,Juice of 1/4 ,Raspberry syrup,2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
418,Quarter Deck Cocktail,11985,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,1 1/2 ,Sherry,1/3 oz cream ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
419,Queen Bee,11987,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Coffee brandy,1 oz ,Lime vodka,1 1/2 oz ,Sherry,1/2 oz cream ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
420,Queen Charlotte,11989,Ordinary Drink,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",Red wine,2 oz ,Grenadine,1 oz ,Lemon-lime soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
421,Queen Elizabeth,11991,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Dry Vermouth,1/2 oz ,Gin,1 1/2 oz ,Benedictine,1 1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
422,Quentin,11993,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",Dark rum,1 1/2 oz ,Kahlua,1/2 oz ,Light cream,1 oz ,Nutmeg,1/8 tsp grated ,, ,, ,, ,, ,, ,,,,,,,,,,,,
423,Quick F**K,13198,Shot,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",Kahlua,1 part ,Midori melon liqueur,1 part ,Bailey's irish cream,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
424,Quick-sand,15761,Ordinary Drink,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",Black Sambuca,25 ml ,Orange juice,Add 250 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
425,Radioactive Long Island Iced Tea,16984,Ordinary Drink,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,Rum,1 oz ,Vodka,1 oz ,Tequila,1 oz ,Gin,1 oz ,Triple sec,1 oz ,Chambord raspberry liqueur,1 oz ,Midori melon liqueur,1 oz ,Malibu rum,1 oz ,, ,, ,, ,, ,, ,,,,
426,Radler,16031,Ordinary Drink,Highball glass,"Pour beer into large mug, slowly add the 7-up (or Sprite).",Beer,12 oz ,7-Up,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
427,Rail Splitter,12630,Cocktail,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,Sugar syrup,2 tsp ,Lemon juice,"
",Ginger ale, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
428,Raspberry Cooler,17167,Other/Unknown,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,Raspberry vodka,2 oz ,Lemon-lime soda,4 oz ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
429,Red Snapper,14087,Shot,Old-fashioned glass,"One shot each, shake n shoot",Crown Royal,1 shot ,Amaretto,1 shot ,Cranberry juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
430,Rose,17208,Ordinary Drink,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",Dry Vermouth,1/2 oz ,Gin,1 oz ,Apricot brandy,1/2 oz ,Lemon juice,1/2 tsp ,Grenadine,1 tsp ,Powdered sugar,,,,,,,,,,,,,,,,,,,
431,Royal Bitch,17122,Shot,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.,Frangelico,1 part ,Crown Royal,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
432,Royal Fizz,12055,Ordinary Drink,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,Gin,1 oz ,Sweet and sour,2 oz ,Egg,1 whole ,Coca-Cola,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
433,Royal Flush,15082,Shot,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.,Crown Royal,1 1/2 oz ,Peach schnapps,1 oz ,Chambord raspberry liqueur,1/2 oz ,Cranberry juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
434,Royal Gin Fizz,12057,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg,1 whole ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
435,Ruby Tuesday,17114,Cocktail,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,Gin,2 oz ,Cranberry juice,5 oz ,Grenadine,2 splashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
436,Rum Cobbler,12067,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1 ,Dark rum,2 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
437,Rum Cooler,12071,Ordinary Drink,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,Rum,2 oz light or dark ,Lemon-lime soda,4 oz ,Lemon,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
438,Rum Milk Punch,12087,Ordinary Drink,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,Light rum,2 oz ,Milk,1 cup ,Powdered sugar,1 tsp ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
439,Rum Old-fashioned,12089,Ordinary Drink,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",Light rum,1 1/2 oz ,151 proof rum,1 tsp ,Powdered sugar,1/2 tsp ,Bitters,1 dash ,Water,1 tsp ,Lime peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,
440,Rum Punch,14978,Punch / Party Drink,Punch bowl,Mix all ingredients in a punch bowl and serve.,Rum,mikey bottle ,Ginger ale,large bottle ,Fruit punch,355 ml frozen ,Orange juice,355 ml frozen ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,
441,Rum Runner,16250,Punch / Party Drink,Cocktail glass,Mix all ingredients in glass & add ice.,Malibu rum,1 1/2 oz ,Blackberry brandy,1 oz ,Orange juice,3-4 oz ,Pineapple juice,3-4 oz ,Cranberry juice,3-4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
442,Rum Screwdriver,12091,Ordinary Drink,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",Light rum,1 1/2 oz ,Orange juice,5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
443,Rum Sour,12093,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Light rum,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
444,Rum Toddy,12097,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,Rum,2 oz light or dark ,Powdered sugar,2 tsp ,Lemon peel,1 twist of ,Water,2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
445,Russian Spring Punch,17214,Ordinary Drink,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",Vodka,2.5 cl,Creme de Cassis,1.5 cl,Sugar Syrup,1 cl,Lemon Juice,2.5 cl,,,, ,, ,,,,,,,,,,,,,,,,
446,Rusty Nail,12101,Ordinary Drink,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Scotch,1 1/2 oz ,Drambuie,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
447,Salty Dog,12107,Ordinary Drink,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",Grapefruit juice,5 oz ,Gin,1 1/2 oz ,Salt,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
448,San Francisco,15184,Ordinary Drink,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",Vodka,2 cl ,Creme de Banane,2 cl ,Grenadine,"
",Orange juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,
449,Sangria #1,13020,Punch / Party Drink,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,Red wine,1 bottle ,Sugar,1/2 cup ,Orange juice,1 cup ,Lemon juice,1 cup ,Cloves,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,
450,Sangria - The World's Best,13026,Punch / Party Drink,Pitcher,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses.",Red wine,1 1/2 L ,Sugar,1 cup ,Lemon,1 large ,Orange,1 large ,Apple,1 large ,Brandy,3-4 oz plain ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,
451,Sazerac,12127,Ordinary Drink,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",Ricard,1 tsp ,Sugar,1/2 tsp superfine ,Peychaud bitters,2 dashes ,Water,1 tsp ,Bourbon,2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
452,Scooter,12130,Ordinary Drink,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",Brandy,1 oz ,Amaretto,1 oz ,Light cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
453,Scotch Cobbler,12138,Ordinary Drink,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",Scotch,2 oz ,Brandy,4 dashes ,Curacao,4 dashes ,Orange,1 slice ,Mint,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
454,Scotch Sour,12158,Ordinary Drink,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",Scotch,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
455,Scottish Highland Liqueur,12854,Homemade Liqueur,Collins Glass,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",Johnnie Walker,1 fifth ,Honey,1 1/2 cup mild ,Angelica root,2 tsp dried and chopped ,Fennel seeds,1/4 tsp crushed ,Lemon peel,2 2 inch strips ,, ,, ,, ,, ,, ,,,,,,,,,,
456,Screaming Orgasm,13625,Ordinary Drink,Cocktail glass,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",Vodka,1 oz ,Bailey's irish cream,1 1/2 oz ,Kahlua,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
457,Screwdriver,12162,Ordinary Drink,Highball glass,Mix in a highball glass with ice. Garnish and serve.,Vodka,2 oz ,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Sea breeze,13377,Ordinary Drink,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,Vodka,1 1/2 oz ,Cranberry juice,4 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
459,Sex on the Beach,12754,Ordinary Drink,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.,Vodka,1 oz ,Peach schnapps,3/4 oz ,Cranberry juice,,Grapefruit juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,
460,Shanghai Cocktail,12186,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,1 oz Jamaican ,Anisette,1 tsp ,Grenadine,1/2 tsp ,Lemon,Juice of 1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
461,Shark Attack,16273,Cocktail,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,Lemonade,1 can ,Water,3 cans ,Vodka,1 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
462,Sherry Eggnog,12188,Ordinary Drink,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",Sherry,2 oz cream ,Powdered sugar,1 tsp ,Egg,1 whole ,Milk,"
",Nutmeg, ,, ,, ,, ,, ,,,,,,,,,,,,
463,Sherry Flip,12190,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,Sherry,1 1/2 oz cream ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
464,Shot-gun,16985,Shot,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,Jim Beam,1 part ,Jack Daniels,1 part ,Wild Turkey,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
465,Sidecar,12196,Ordinary Drink,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,Cognac,2 oz ,Cointreau,1/2 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
466,Sidecar Cocktail,12198,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Brandy,1 oz ,Triple sec,1/2 oz ,Lemon,Juice of 1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
467,Singapore Sling,12214,Ordinary Drink,Hurricane glass,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,Cherry brandy,1/2 oz ,Grenadine,1/2 oz ,Gin,1 oz ,Sweet and sour,2 oz ,Carbonated water,,Cherry,,,,,,,,,,,,,,,,,,,
468,Sloe Gin Cocktail,12224,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sloe gin,2 oz ,Dry Vermouth,1/4 tsp ,Orange bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
469,Smut,17141,Punch / Party Drink,Beer mug,Throw it all together and serve real cold.,Red wine,1/3 part ,Peach schnapps,1 shot ,Pepsi Cola,1/3 part ,Orange juice,1/3 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
470,Snake Bite (UK),13389,Beer,Pint glass,Pour ingredients into a pint glass. Drink. Fall over.,Lager,1/2 pint ,Cider,1/2 pint sweet or dry ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
471,Snakebite and Black,15789,Beer,Pint glass,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant squash,A little bit of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
472,Snowball,14195,Ordinary Drink,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,Advocaat,1 1/2 oz ,Lemonade,8-10 oz cold ,Lemon,1 slice ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
473,Sol Y Sombra,12256,Ordinary Drink,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",Brandy,1 1/2 oz ,Anisette,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
474,Space Odyssey,15226,Ordinary Drink,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,151 proof rum,1 shot Bacardi ,Malibu rum,1 shot ,Pineapple juice,1 shot ,Orange juice,"
",Grenadine,"
",Cherries, ,, ,, ,, ,, ,,,,,,,,,,
475,Spanish chocolate,12750,Cocoa,Coffee mug,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.",Milk,2 cups ,Chocolate,2 oz sweet ,Cinnamon,1/2 tsp ,Egg yolk,2 beaten ,, ,, ,, ,, ,, ,,,,,,,,,,,,
